#	Address	Found address	Long	Lat
1	Олимпийский проспект, д.10, стр.7	Олимпийский проспект, 10с7	37.621678	55.778137
2	Площадь Пречистенские Ворота, д.1 (вл.1, стр.2)	площадь Пречистенские Ворота, вл1с4	37.601034	55.745301
3	Площадь Пречистенские Ворота, д.1 (вл.1, стр.6)	площадь Пречистенские Ворота, вл1с4	37.601034	55.745301
4	Ул. Пресненский Вал, д.1/2, стр.2	улица Пресненский Вал, 1/2с2	37.563287	55.763604
5	Ул. Пресненский Вал, д.1/2, стр.3	улица Пресненский Вал, 1/2с3	37.563233	55.763883
6	Ул. 1905 года, д.4, стр.2	улица 1905 года, 4с2	37.561796	55.764415
7	Звенигородское шоссе, д.1, стр.1	Звенигородское шоссе, 1с1	37.559945	55.763088
8	Ул. Садовая-Сухаревская, д.8/12, стр.6	Садовая-Сухаревская улица, 8/12	37.6259	55.77315
9	Ул. Коровий Вал, д.1, соор.2А	улица Коровий Вал, 1соор2А	37.622756	55.729422
10	Зубовский бульвар, д.5, стр.3	Зубовский бульвар, 5с3	37.593345	55.734927
11	Зубовский бульвар, д.35, стр.4	Зубовский бульвар, 35с3	37.586194	55.737071
12	Ружейный пер. д. 1	Ружейный переулок, 1	37.582269	55.743426
13	Семеновская набережная, д. ВЛ 3/1, стр. 17	улица Линии Октябрьской Железной Дороги, вл1	37.562856	55.841832
14	Ул. Костромская, д.19В	Костромская улица, 19Ж	37.60125	55.884009
